Nr wiersza,Nr zamówienia,Data zamówienia,Priorytet zamówienia,Wielkość zamówienia,Data wysyłki,Rodzaj transportu,Rodzaj opakowania,Segment rynku,Region,Województwo,Miasto,Kod pocztowy,Nr klienta,Kategoria produktu,Podkategoria produktu,Nazwa produktu,Sprzedaż,Cena jednostkowa,Rabat procentowy,Marża podstawowa,Koszt dostawy,Zysk,Miesiąc wysyłki
1006,PL-2012-007335,41058,niski,62,41063,lotniczy standardowy,małe pudełko,korporacja,północno-zachodni,wielkopolskie,Poznań,19-120,K02238,urządzenia techniczne,telefony,T60,18579.995,335.965,0.01,0.56,17.15,4187.547,6
1008,PL-2011-007364,40671,wysoki,22,40673,lotniczy standardowy,małe pudełko,korporacja,centralny,mazowieckie,Warszawa,10-177,K02189,artykuły biurowe,koperty,Brown Kraft Recycled Envelopes,1336.685,59.43,0.09,0.35,43.365,-169.995,5
1040,PL-2012-007619,41190,nieokreślony,14,41191,lotniczy standardowy,małe opakowanie,osoba fizyczna,północny,kujawsko-pomorskie,Toruń,28-206,K02882,urządzenia techniczne,akcesoria komputerowe,"Maxell Pro 80 Minute CD-R, 10/Pack",868.35,61.18,0.02,0.45,6.965,-113.9544,10
1041,PL-2011-007623,40844,krytyczny,32,40846,lotniczy standardowy,duże pudełko,korporacja,południowy,śląskie,Rybnik,02-113,K03011,artykuły biurowe,przyrządy,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,33969.11,1052.275,0.03,0.52,85.715,4488.736,10
1042,PL-2011-007623,40844,krytyczny,67,40846,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Rybnik,02-113,K03011,urządzenia techniczne,akcesoria komputerowe,US Robotics 56K V.92 Internal PCI Faxmodem,11366.39,174.965,0.06,0.45,69.965,60.2,10
1043,PL-2011-007623,40844,krytyczny,58,40845,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Rybnik,02-113,K03011,artykuły biurowe,papier,Xerox 1941,19539.205,366.975,0.1,0.37,16.275,4144.42,10
1051,PL-2014-007751,41996,nieokreślony,90,41997,lądowy,kontener,korporacja,centralny,mazowieckie,Radom,94-122,K00181,meble,krzesła,Global Deluxe Office Fabric Chairs,31835.3,335.93,0.01,0.58,203.7,-2688.49,12
106,PL-2011-000646,40868,wysoki,61,40869,lotniczy standardowy,małe opakowanie,mała firma,wschodni,lubelskie,Lublin,75-220,K01106,artykuły biurowe,nożyczki i linijki,Acme® Forged Steel Scissors with Black Enamel Handles,2054.36,32.585,0.01,0.56,13.93,-38.15,11
1074,PL-2011-007909,40546,wysoki,29,40547,lotniczy standardowy,woreczek foliowy,biuro w domu,północny,warmińsko-mazurskie,Olsztyn,98-103,K00117,artykuły biurowe,akcesoria piśmiennicze,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",427.805,14.91,0.03,0.44,4.2,34.37,1
1084,PL-2012-008000,41171,niski,18,41173,lotniczy standardowy,małe pudełko,mała firma,południowy,śląskie,Ruda Śląska,20-012,K01733,artykuły biurowe,segregatory,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",940.275,52.535,0.08,0.39,29.4,-93.82275,9
1085,PL-2012-008000,41171,niski,2,41173,lotniczy standardowy,małe pudełko,mała firma,południowy,śląskie,Ruda Śląska,20-012,K01733,artykuły biurowe,segregatory,Wilson Jones Turn Tabs Binder Tool for Ring Binders,70.98,16.87,0.04,0.39,18.34,-26.6455,9
1086,PL-2012-008001,41232,wysoki,51,41234,lotniczy standardowy,woreczek foliowy,osoba fizyczna,północny,warmińsko-mazurskie,Olsztyn,98-119,K00640,artykuły biurowe,papier,"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""",448.63,7.63,0.1,0.38,24.815,-283.78,11
1087,PL-2012-008001,41232,wysoki,160,41234,lotniczy standardowy,małe pudełko,osoba fizyczna,północny,warmińsko-mazurskie,Olsztyn,98-119,K00640,artykuły biurowe,teczki,Acco Perma® 3000 Stacking Storage Drawers,12626.46,73.43,0.01,0.66,18.97,392.77,11
1106,PL-2012-008131,41032,krytyczny,35,41032,lotniczy standardowy,małe opakowanie,biuro w domu,centralny,mazowieckie,Warszawa,10-045,K01488,urządzenia techniczne,akcesoria komputerowe,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",3661.175,104.615,0.01,0.5,6.965,669.515,5
1115,PL-2011-008165,40831,niski,63,40840,lotniczy standardowy,małe pudełko,korporacja,południowy,małopolskie,Kraków,90-008,K00553,artykuły biurowe,papier,Xerox 1922,1155.735,17.43,0.01,0.36,26.04,-628.572,10
112,PL-2012-000738,40969,nieokreślony,7,40971,lotniczy standardowy,małe pudełko,korporacja,centralny,mazowieckie,Warszawa,10-177,K00607,artykuły biurowe,przyrządy,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,1961.785,283.43,0.04,0.59,15.75,114.1,3
1127,PL-2014-008257,41720,niski,5,41720,lądowy,kontener,osoba fizyczna,południowy,małopolskie,Kraków,90-049,K00949,urządzenia techniczne,urządzenia biurowe,Epson DFX5000+ Dot Matrix Printer,26201.315,5253.395,0.05,0.57,103.95,-8964.63225,3
1128,PL-2011-008257,40624,niski,18,40628,lotniczy standardowy,małe pudełko,osoba fizyczna,południowy,małopolskie,Kraków,90-049,K00949,artykuły biurowe,papier,Xerox 1910,3084.62,168.14,0.02,0.37,17.815,1307.845,3
1129,PL-2014-008257,41720,niski,5,41727,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowy,małopolskie,Kraków,90-049,K00949,artykuły biurowe,akcesoria piśmiennicze,Newell 320,79.695,14.98,0.03,0.58,5.6,-21.7,3
113,PL-2012-000738,40969,nieokreślony,31,40970,lotniczy standardowy,małe pudełko,korporacja,centralny,mazowieckie,Warszawa,10-177,K00607,artykuły biurowe,papier,Xerox 23,664.825,22.68,0.08,0.37,17.99,-198.38,3
1146,PL-2014-008353,41774,średni,44,41776,lotniczy standardowy,małe opakowanie,osoba fizyczna,centralny,mazowieckie,Warszawa,10-154,K00491,urządzenia techniczne,akcesoria komputerowe,"Imation 3.5 IBM Formatted Diskettes, 10/Box",1299.48,29.12,0.06,0.74,8.33,-128.205,5
1147,PL-2011-008353,40678,średni,23,40680,lotniczy standardowy,woreczek foliowy,osoba fizyczna,centralny,mazowieckie,Warszawa,10-154,K00491,artykuły biurowe,akcesoria piśmiennicze,Newell 343,233.45,10.29,0.08,0.58,3.36,-7.42,5
1156,PL-2013-008419,41546,krytyczny,37,41548,lotniczy ekspresowy,małe pudełko,mała firma,północny,kujawsko-pomorskie,Bydgoszcz,92-024,K02498,artykuły biurowe,papier,Xerox 1936,2508.485,69.93,0.07,0.38,20.895,246.365,10
1157,PL-2013-008419,41546,krytyczny,47,41547,lotniczy standardowy,małe pudełko,mała firma,północny,kujawsko-pomorskie,Bydgoszcz,92-024,K02498,artykuły biurowe,papier,Xerox 214,1045.94,22.68,0.1,0.37,24.605,-303.17,9
119,PL-2012-000773,41177,średni,69,41178,lotniczy standardowy,małe pudełko,biuro w domu,centralny,mazowieckie,Warszawa,10-045,K01488,urządzenia techniczne,telefony,Talkabout T8367,13163.92,230.965,0.06,0.56,31.465,1137.2445,9
1205,PL-2014-008833,41763,niski,52,41767,lotniczy standardowy,duże pudełko,mała firma,północny,kujawsko-pomorskie,Bydgoszcz,92-024,K02498,artykuły biurowe,teczki,Carina Double Wide Media Storage Towers in Natural & Black,15192.345,283.43,0,0.81,122.5,-2963.555,5
1225,PL-2011-008994,40640,niski,36,40642,lotniczy standardowy,małe pudełko,korporacja,północny,warmińsko-mazurskie,Olsztyn,98-105,K00698,urządzenia techniczne,akcesoria komputerowe,Keytronic Designer 104- Key Black Keyboard,4981.725,141.68,0.1,0.77,69.965,-2031.12,4
